Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
AX4912_vs_AX4894	518	542	0	122	445	47	238
AX4914_vs_AX4895	149	165	157	66	202	14	203
AX4915_vs_AX4895	516	408	1123	794	209	144	278
AX4916_vs_AX4896	16	79	124	3	85	17	209
AX4918_vs_AX4897	522	774	128	108	315	542	237
AX4921_vs_AX4898	196	501	0	89	233	20	195
AX4922_vs_AX4899	15	162	933	2898	97	122	171
AX4923_vs_AX4906	823	111	1136	246	63	141	339
AX4924_vs_AX4901	0	0	14	0	5	0	190
AX4925_vs_AX4901	193	127	121	48	79	31	264
AX4926_vs_AX4904	0	0	0	0	0	0	181
AX4927_vs_AX4905	356	183	264	571	88	65	218
AX4928_vs_AQ5174	637	115	487	12	143	35	246
AX4929_vs_AQ5174	11	0	0	1	0	5	241
AX4930_vs_AX4900	45	440	41	14	317	23	226
AX4931_vs_AX4907	53	0	32	20	24	0	139
AX4932_vs_AX4908	85	0	220	5	349	3	189
AX4933_vs_AX4909	512	41	287	163	23	0	120
AX4934_vs_AX4909	89	58	79	41	83	0	181
AX4935_vs_AX4910	128	475	0	1723	111	27	149
AX4936_vs_AX4911	93	92	84	41	119	86	170
AX4937_vs_AX4894	515	549	107	70	422	41	79
AX4938_vs_AX4896	7	56	86	16	64	17	5
AX4940_vs_AX4904	302	73	386	42	107	60	30
AX4942_vs_AX4898	502	913	265	70	168	59	141
AX4943_vs_AX4898	496	1053	215	74	171	78	129
AX4944_vs_AX4897	577	893	67	138	355	614	130
AX4945_vs_AX4898	116	337	49	93	188	16	32
AX4946_vs_AX4895	388	3237	777	158	9	154	133
AX4947_vs_AX4895	593	3092	554	112	5	173	134
AX4951_vs_AX4903	238	57	24	63	401	12	37
AX4958_vs_AQ5174	685	1112	1173	46	99	75	55
AX4961_vs_AQ5174	650	1184	1112	60	92	70	67
DIAF_vs_BLOOD	631	200	703	388	210	75	102
HK_vs_BLOOD	0	0	0	0	12	0	6
LNMETA_vs_BLOOD	732	107	944	540	182	124	169
LN_vs_BLOOD	300	191	343	112	274	591	67
OMEN_vs_BLOOD	314	188	434	206	227	68	88
PABKLN-01A_vs_PABKLN-11A	163	207	46	45	112	199	38
PADWRZ-01A_vs_PADWRZ-10A	94	151	160	38	128	41	43
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	0	1367	0
PAEHIP-01A_vs_PAEHIP-10A	0	47	57	16	119	24	27
PAJLWM-01A_vs_PAJLWM-11A	28	84	49	31	98	26	12
PAJMBW-01A_vs_PAJMBW-10A	40	62	110	31	25	305	16
PAJMRB-01A_vs_PAJMRB-11A	31	85	23	14	146	0	13
PAJNER-01A_vs_PAJNER-11A	56	49	40	5	60	7	24
PAJNFP-01A_vs_PAJNFP-11A	84	105	231	67	69	290	72
PAJNFZ-01A_vs_PAJNFZ-10A	97	70	112	3	150	125	34
PAKHTL-01A_vs_PAKHTL-11A	233	277	0	13	266	58	69
PAKLYZ-01A_vs_PAKLYZ-10A	0	526	675	63	24	18	0
PAKTCT-01A_vs_PAKTCT-11A	169	190	291	47	163	26	44
PARECB-01A_vs_PARECB-11A	72	51	70	10	60	25	9
PAREWI-01A_vs_PAREWI-11A	104	120	51	17	97	99	42
PARGRN-01A_vs_PARGRN-10A	50	160	78	14	65	160	26
PARIRN-01A_vs_PARIRN-10A	86	89	213	15	235	16	51
PARPFY-01A_vs_PARPFY-11A	72	195	185	16	100	46	10
PARRCL-01A_vs_PARRCL-11A	55	79	106	48	111	83	27
PARTKH-01A_vs_PARTKH-10A	94	53	187	16	78	67	43
PARUGK-01A_vs_PARUGK-10A	71	98	16	27	116	16	11
PARZBI-01A_vs_PARZBI-11A	123	78	115	17	145	70	39
PARZRH-01A_vs_PARZRH-10A	0	476	180	67	132	86	20
PASABD-01A_vs_PASABD-10A	78	101	80	15	110	34	21
PASADZ-01A_vs_PASADZ-10A	87	125	139	11	91	108	56
PASCDH-01A_vs_PASCDH-10A	73	141	72	34	175	63	18
PASDLA-01A_vs_PASDLA-11A	36	86	53	22	79	23	17
PASGCL-01A_vs_PASGCL-10A	105	126	16	40	166	13	47
PASRHU-01A_vs_PASRHU-10A	0	53	27	3	120	16	9
PASVDP-01A_vs_PASVDP-10A	42	98	87	53	91	35	13
PASWZZ-01A_vs_PASWZZ-10A	38	48	43	9	84	36	30
PASXNA-01A_vs_PASXNA-11A	110	26	167	17	119	41	30
PASYNF-01A_vs_PASYNF-10A	17	75	48	27	131	20	18
PASZYE-01A_vs_PASZYE-10A	90	130	78	8	137	21	27
PATAFT-01A_vs_PATAFT-10A	136	83	146	31	49	38	35
PATBLF-01A_vs_PATBLF-10A	83	285	106	34	160	49	8
PATDVL-01A_vs_PATDVL-10A	48	124	25	36	91	33	16
PATENH-01A_vs_PATENH-11A	50	252	47	33	256	65	22
PATFXW-01A_vs_PATFXW-10A	47	63	186	0	183	79	26
PATFZZ-01A_vs_PATFZZ-10A	68	45	268	37	138	88	33
PATXEE-01A_vs_PATXEE-10A	91	356	75	46	224	36	15
PATXKA-01A_vs_PATXKA-10A	48	104	101	32	60	55	42
PAUCGJ-01A_vs_PAUCGJ-10A	94	282	203	16	61	154	16
PAUDPV-01A_vs_PAUDPV-11A	36	72	69	1	54	47	7
PAUEKW-01A_vs_PAUEKW-10A	303	188	113	88	497	28	88
PAUFVP-01A_vs_PAUFVP-11A	100	178	146	36	224	42	41
PAUGYZ-01A_vs_PAUGYZ-10A	0	132	243	17	114	11	15
PAUHAZ-01A_vs_PAUHAZ-10A	0	55	118	24	119	17	24
